cluster_number,day_of_week,month_of_year,department_id,demand,meand_demand,std_demand
18,0,0,5,179,130.125,76.7992513
19,0,0,6,49,30.5,22.66421555
19,0,0,6,51,30.5,22.66421555
19,0,0,6,8,30.5,22.66421555
19,0,0,6,14,30.5,22.66421555
20,0,0,7,31,115.4285714,58.19752899
20,0,0,7,112,115.4285714,58.19752899
20,0,0,7,189,115.4285714,58.19752899
20,0,0,7,179,115.4285714,58.19752899
20,0,0,7,129,115.4285714,58.19752899
20,0,0,7,112,115.4285714,58.19752899
20,0,0,7,56,115.4285714,58.19752899
21,0,0,8,68,94.5,61.59274849
21,0,0,8,42,94.5,61.59274849
21,0,0,8,183,94.5,61.59274849
21,0,0,8,85,94.5,61.59274849
22,0,0,9,90,135.6,79.77029522
22,0,0,9,225,135.6,79.77029522
22,0,0,9,202,135.6,79.77029522
22,0,0,9,130,135.6,79.77029522
22,0,0,9,31,135.6,79.77029522
23,0,1,10,70,129.875,82.35192339
23,0,1,10,159,129.875,82.35192339
23,0,1,10,127,129.875,82.35192339
23,0,1,10,216,129.875,82.35192339
23,0,1,10,15,129.875,82.35192339
23,0,1,10,237,129.875,82.35192339
23,0,1,10,178,129.875,82.35192339
23,0,1,10,37,129.875,82.35192339
24,0,1,11,285,193.3333333,157.9060902
24,0,1,11,11,193.3333333,157.9060902
24,0,1,11,284,193.3333333,157.9060902
25,0,1,12,105,87.5,22.54624876
25,0,1,12,90,87.5,22.54624876
25,0,1,12,55,87.5,22.54624876
25,0,1,12,100,87.5,22.54624876
26,0,1,13,30,37.42857143,19.8482337
26,0,1,13,18,37.42857143,19.8482337
26,0,1,13,42,37.42857143,19.8482337
26,0,1,13,69,37.42857143,19.8482337
26,0,1,13,14,37.42857143,19.8482337
26,0,1,13,33,37.42857143,19.8482337
26,0,1,13,56,37.42857143,19.8482337
27,0,1,14,6,19,17.76513439
27,0,1,14,8,19,17.76513439
27,0,1,14,11,19,17.76513439
27,0,1,14,9,19,17.76513439
27,0,1,14,51,19,17.76513439
27,0,1,14,29,19,17.76513439
28,0,1,15,41,24.2,13.25518766
28,0,1,15,32,24.2,13.25518766
28,0,1,15,9,24.2,13.25518766
28,0,1,15,26,24.2,13.25518766
28,0,1,15,13,24.2,13.25518766
29,0,1,16,13,52.33333333,44.41020904
29,0,1,16,36,52.33333333,44.41020904
29,0,1,16,120,52.33333333,44.41020904
29,0,1,16,3,52.33333333,44.41020904
29,0,1,16,58,52.33333333,44.41020904
29,0,1,16,84,52.33333333,44.41020904
30,0,1,17,18,37.14285714,21.89694477
30,0,1,17,29,37.14285714,21.89694477
30,0,1,17,72,37.14285714,21.89694477
30,0,1,17,6,37.14285714,21.89694477
30,0,1,17,48,37.14285714,21.89694477
30,0,1,17,49,37.14285714,21.89694477
30,0,1,17,38,37.14285714,21.89694477
31,0,1,18,121,79.8,58.97202727
31,0,1,18,162,79.8,58.97202727
31,0,1,18,44,79.8,58.97202727
31,0,1,18,49,79.8,58.97202727
31,0,1,18,23,79.8,58.97202727
32,0,1,19,17,11,7.483314774
32,0,1,19,6,11,7.483314774
32,0,1,19,16,11,7.483314774
32,0,1,19,3,11,7.483314774
32,0,1,19,4,11,7.483314774
32,0,1,19,20,11,7.483314774
33,0,1,2,292,183.6,127.508039
33,0,1,2,40,183.6,127.508039
33,0,1,2,173,183.6,127.508039
33,0,1,2,332,183.6,127.508039
33,0,1,2,81,183.6,127.508039
34,0,1,20,28,16.6,12.36122971
34,0,1,20,18,16.6,12.36122971
34,0,1,20,29,16.6,12.36122971
34,0,1,20,6,16.6,12.36122971
34,0,1,20,2,16.6,12.36122971
35,0,1,21,9,10,1.414213562
35,0,1,21,11,10,1.414213562
36,0,1,22,14,13.66666667,9.223159256
36,0,1,22,30,13.66666667,9.223159256
36,0,1,22,11,13.66666667,9.223159256
36,0,1,22,2,13.66666667,9.223159256
36,0,1,22,10,13.66666667,9.223159256
36,0,1,22,15,13.66666667,9.223159256
37,0,1,23,16,20,11.53256259
37,0,1,23,33,20,11.53256259
37,0,1,23,11,20,11.53256259
38,0,1,3,17,11.33333333,6.623191577
38,0,1,3,9,11.33333333,6.623191577
38,0,1,3,18,11.33333333,6.623191577
38,0,1,3,16,11.33333333,6.623191577
38,0,1,3,6,11.33333333,6.623191577
38,0,1,3,2,11.33333333,6.623191577
39,0,1,4,3,8,8.660254038
39,0,1,4,3,8,8.660254038
39,0,1,4,18,8,8.660254038
40,0,1,5,137,75.33333333,71.15522937
40,0,1,5,4,75.33333333,71.15522937
40,0,1,5,80,75.33333333,71.15522937
40,0,1,5,10,75.33333333,71.15522937
40,0,1,5,180,75.33333333,71.15522937
40,0,1,5,41,75.33333333,71.15522937
41,0,1,6,6,38,32.42684073
41,0,1,6,5,38,32.42684073
41,0,1,6,60,38,32.42684073
41,0,1,6,78,38,32.42684073
41,0,1,6,41,38,32.42684073
42,0,1,7,118,75,50.05996404
42,0,1,7,128,75,50.05996404
42,0,1,7,81,75,50.05996404
42,0,1,7,16,75,50.05996404
42,0,1,7,32,75,50.05996404
43,0,1,8,103,57,44.13615298
43,0,1,8,15,57,44.13615298
43,0,1,8,53,57,44.13615298
44,0,1,9,54,109.5714286,74.88181164
44,0,1,9,181,109.5714286,74.88181164
44,0,1,9,37,109.5714286,74.88181164
44,0,1,9,105,109.5714286,74.88181164
44,0,1,9,29,109.5714286,74.88181164
44,0,1,9,223,109.5714286,74.88181164
44,0,1,9,138,109.5714286,74.88181164
45,0,10,10,277,161.8571429,107.7627465
45,0,10,10,83,161.8571429,107.7627465
45,0,10,10,195,161.8571429,107.7627465
45,0,10,10,41,161.8571429,107.7627465
45,0,10,10,328,161.8571429,107.7627465
45,0,10,10,117,161.8571429,107.7627465
45,0,10,10,92,161.8571429,107.7627465
46,0,10,11,193,154.2857143,87.15831245
46,0,10,11,50,154.2857143,87.15831245
46,0,10,11,223,154.2857143,87.15831245
46,0,10,11,286,154.2857143,87.15831245
46,0,10,11,53,154.2857143,87.15831245
46,0,10,11,150,154.2857143,87.15831245
46,0,10,11,125,154.2857143,87.15831245
47,0,10,12,21,77.2,40.14598361
47,0,10,12,54,77.2,40.14598361
47,0,10,12,83,77.2,40.14598361
47,0,10,12,112,77.2,40.14598361
47,0,10,12,116,77.2,40.14598361
48,0,10,13,15,46.875,34.7251967
48,0,10,13,11,46.875,34.7251967
48,0,10,13,109,46.875,34.7251967
48,0,10,13,49,46.875,34.7251967
48,0,10,13,19,46.875,34.7251967
48,0,10,13,83,46.875,34.7251967
48,0,10,13,54,46.875,34.7251967
48,0,10,13,35,46.875,34.7251967
49,0,10,14,11,13.83333333,8.424171572
49,0,10,14,9,13.83333333,8.424171572
49,0,10,14,20,13.83333333,8.424171572
49,0,10,14,6,13.83333333,8.424171572
49,0,10,14,9,13.83333333,8.424171572
49,0,10,14,28,13.83333333,8.424171572
50,0,10,15,49,66.5,24.74873734
50,0,10,15,84,66.5,24.74873734
51,0,10,16,109,73.5,29.29651369
51,0,10,16,49,73.5,29.29651369
51,0,10,16,102,73.5,29.29651369
51,0,10,16,68,73.5,29.29651369
51,0,10,16,43,73.5,29.29651369
51,0,10,16,97,73.5,29.29651369
51,0,10,16,33,73.5,29.29651369
51,0,10,16,87,73.5,29.29651369
52,0,10,17,15,42.375,28.3243333
52,0,10,17,50,42.375,28.3243333
52,0,10,17,54,42.375,28.3243333
52,0,10,17,81,42.375,28.3243333
52,0,10,17,15,42.375,28.3243333
52,0,10,17,4,42.375,28.3243333
52,0,10,17,73,42.375,28.3243333
52,0,10,17,47,42.375,28.3243333
53,0,10,18,114,122.75,52.3006419
53,0,10,18,174,122.75,52.3006419
53,0,10,18,51,122.75,52.3006419
53,0,10,18,185,122.75,52.3006419
53,0,10,18,57,122.75,52.3006419
53,0,10,18,170,122.75,52.3006419
53,0,10,18,135,122.75,52.3006419
53,0,10,18,96,122.75,52.3006419
54,0,10,19,17,15.14285714,8.513294925
54,0,10,19,4,15.14285714,8.513294925
54,0,10,19,30,15.14285714,8.513294925
54,0,10,19,13,15.14285714,8.513294925
54,0,10,19,16,15.14285714,8.513294925
54,0,10,19,19,15.14285714,8.513294925
54,0,10,19,7,15.14285714,8.513294925
55,0,10,2,58,196.2,158.379923
55,0,10,2,90,196.2,158.379923
55,0,10,2,196,196.2,158.379923
55,0,10,2,177,196.2,158.379923
55,0,10,2,460,196.2,158.379923
56,0,10,20,23,19.75,9.43776608
56,0,10,20,26,19.75,9.43776608
56,0,10,20,5,19.75,9.43776608
56,0,10,20,15,19.75,9.43776608
56,0,10,20,8,19.75,9.43776608
56,0,10,20,30,19.75,9.43776608
56,0,10,20,29,19.75,9.43776608
56,0,10,20,22,19.75,9.43776608
57,0,10,21,9,4,3.366501646
57,0,10,21,3,4,3.366501646
57,0,10,21,2,4,3.366501646
57,0,10,21,2,4,3.366501646
58,0,10,22,8,8.125,5.139135558
58,0,10,22,13,8.125,5.139135558
58,0,10,22,11,8.125,5.139135558
58,0,10,22,3,8.125,5.139135558
58,0,10,22,3,8.125,5.139135558
58,0,10,22,4,8.125,5.139135558
58,0,10,22,17,8.125,5.139135558
58,0,10,22,6,8.125,5.139135558
59,0,10,23,30,25.71428571,15.00793441
59,0,10,23,3,25.71428571,15.00793441
59,0,10,23,33,25.71428571,15.00793441
59,0,10,23,31,25.71428571,15.00793441
59,0,10,23,8,25.71428571,15.00793441
59,0,10,23,46,25.71428571,15.00793441
59,0,10,23,29,25.71428571,15.00793441
60,0,10,3,15,10.33333333,3.5
60,0,10,3,9,10.33333333,3.5
60,0,10,3,16,10.33333333,3.5
60,0,10,3,11,10.33333333,3.5
60,0,10,3,5,10.33333333,3.5
60,0,10,3,7,10.33333333,3.5
60,0,10,3,10,10.33333333,3.5
60,0,10,3,9,10.33333333,3.5
60,0,10,3,11,10.33333333,3.5
61,0,10,4,3,13.85714286,9.771191866
61,0,10,4,9,13.85714286,9.771191866
61,0,10,4,16,13.85714286,9.771191866
61,0,10,4,7,13.85714286,9.771191866
61,0,10,4,12,13.85714286,9.771191866
61,0,10,4,17,13.85714286,9.771191866
61,0,10,4,33,13.85714286,9.771191866
62,0,10,5,151,129.4,89.66771994
62,0,10,5,241,129.4,89.66771994
62,0,10,5,179,129.4,89.66771994
62,0,10,5,44,129.4,89.66771994
62,0,10,5,32,129.4,89.66771994
63,0,10,6,71,29.5,25.95600674
63,0,10,6,38,29.5,25.95600674
63,0,10,6,2,29.5,25.95600674
63,0,10,6,65,29.5,25.95600674
63,0,10,6,11,29.5,25.95600674
63,0,10,6,11,29.5,25.95600674
63,0,10,6,19,29.5,25.95600674
63,0,10,6,19,29.5,25.95600674
64,0,10,7,110,73.85714286,38.02380207
64,0,10,7,57,73.85714286,38.02380207
64,0,10,7,70,73.85714286,38.02380207
64,0,10,7,26,73.85714286,38.02380207
64,0,10,7,127,73.85714286,38.02380207
64,0,10,7,34,73.85714286,38.02380207
64,0,10,7,93,73.85714286,38.02380207
65,0,10,8,24,58.28571429,42.81632977
65,0,10,8,27,58.28571429,42.81632977
65,0,10,8,57,58.28571429,42.81632977
65,0,10,8,41,58.28571429,42.81632977
65,0,10,8,71,58.28571429,42.81632977
65,0,10,8,148,58.28571429,42.81632977
65,0,10,8,40,58.28571429,42.81632977
66,0,10,9,143,135.7142857,79.17010018
66,0,10,9,34,135.7142857,79.17010018
66,0,10,9,204,135.7142857,79.17010018
66,0,10,9,217,135.7142857,79.17010018
66,0,10,9,64,135.7142857,79.17010018
66,0,10,9,217,135.7142857,79.17010018
66,0,10,9,71,135.7142857,79.17010018
67,0,11,10,56,111.3333333,92.39769117
67,0,11,10,218,111.3333333,92.39769117
67,0,11,10,60,111.3333333,92.39769117
68,0,11,11,38,96,75.22632518
68,0,11,11,69,96,75.22632518
68,0,11,11,181,96,75.22632518
69,0,11,12,81,41.75,27.92101956
69,0,11,12,25,41.75,27.92101956
69,0,11,12,19,41.75,27.92101956
69,0,11,12,42,41.75,27.92101956
70,0,11,13,56,30.75,25.811819
70,0,11,13,8,30.75,25.811819
70,0,11,13,9,30.75,25.811819
70,0,11,13,50,30.75,25.811819
71,0,11,14,21,13.75,8.381527307
71,0,11,14,21,13.75,8.381527307
71,0,11,14,6,13.75,8.381527307
71,0,11,14,7,13.75,8.381527307
72,0,11,15,31,32,1.414213562
72,0,11,15,33,32,1.414213562
73,0,11,16,19,19,0
74,0,11,17,38,28.25,14.24488212
74,0,11,17,9,28.25,14.24488212
74,0,11,17,40,28.25,14.24488212
74,0,11,17,26,28.25,14.24488212
75,0,11,18,58,62,55.10898293
75,0,11,18,9,62,55.10898293
75,0,11,18,119,62,55.10898293
76,0,11,19,12,8.333333333,3.214550254
76,0,11,19,7,8.333333333,3.214550254
76,0,11,19,6,8.333333333,3.214550254
77,0,11,2,118,152.6666667,88.26286497
77,0,11,2,253,152.6666667,88.26286497
77,0,11,2,87,152.6666667,88.26286497
78,0,11,20,15,14.66666667,12.50333289
78,0,11,20,2,14.66666667,12.50333289
78,0,11,20,27,14.66666667,12.50333289
79,0,11,21,3,4,1.414213562
79,0,11,21,5,4,1.414213562
80,0,11,22,5,6,1.414213562
80,0,11,22,7,6,1.414213562
81,0,11,23,35,24.5,14.8492424
81,0,11,23,14,24.5,14.8492424
82,0,11,3,11,9,2.828427125
82,0,11,3,7,9,2.828427125
83,0,11,4,3,14.5,16.26345597
83,0,11,4,26,14.5,16.26345597
84,0,11,5,36,77,58.69128271
84,0,11,5,152,77,58.69128271
84,0,11,5,25,77,58.69128271
84,0,11,5,95,77,58.69128271
85,0,11,6,20,18.66666667,1.527525232
85,0,11,6,19,18.66666667,1.527525232
85,0,11,6,17,18.66666667,1.527525232
86,0,11,7,143,64,59.3464405
86,0,11,7,74,64,59.3464405
86,0,11,7,8,64,59.3464405
86,0,11,7,31,64,59.3464405
87,0,11,8,67,38.25,24.26760529
87,0,11,8,45,38.25,24.26760529
87,0,11,8,9,38.25,24.26760529
87,0,11,8,32,38.25,24.26760529
88,0,11,9,91,55.5,50.20458146
88,0,11,9,20,55.5,50.20458146
89,0,2,10,130,154.5714286,93.91105214
89,0,2,10,153,154.5714286,93.91105214
89,0,2,10,268,154.5714286,93.91105214
89,0,2,10,186,154.5714286,93.91105214
89,0,2,10,38,154.5714286,93.91105214
89,0,2,10,265,154.5714286,93.91105214
89,0,2,10,42,154.5714286,93.91105214
90,0,2,11,49,124.5,92.59769616
90,0,2,11,235,124.5,92.59769616
90,0,2,11,47,124.5,92.59769616
90,0,2,11,167,124.5,92.59769616
91,0,2,12,38,64,40.47574229
91,0,2,12,25,64,40.47574229
91,0,2,12,141,64,40.47574229
91,0,2,12,76,64,40.47574229
91,0,2,12,74,64,40.47574229
91,0,2,12,19,64,40.47574229
91,0,2,12,47,64,40.47574229
91,0,2,12,92,64,40.47574229
92,0,2,13,63,39.28571429,22.55891757
92,0,2,13,27,39.28571429,22.55891757
92,0,2,13,11,39.28571429,22.55891757
92,0,2,13,39,39.28571429,22.55891757
92,0,2,13,40,39.28571429,22.55891757
92,0,2,13,74,39.28571429,22.55891757
92,0,2,13,21,39.28571429,22.55891757
93,0,2,14,4,19.5,14.44200224
93,0,2,14,40,19.5,14.44200224
93,0,2,14,14,19.5,14.44200224
93,0,2,14,8,19.5,14.44200224
93,0,2,14,20,19.5,14.44200224
93,0,2,14,4,19.5,14.44200224
93,0,2,14,37,19.5,14.44200224
93,0,2,14,29,19.5,14.44200224
94,0,2,15,59,41.5,22.20682006
94,0,2,15,36,41.5,22.20682006
94,0,2,15,59,41.5,22.20682006
94,0,2,15,18,41.5,22.20682006
94,0,2,15,80,41.5,22.20682006
94,0,2,15,18,41.5,22.20682006
94,0,2,15,30,41.5,22.20682006
94,0,2,15,32,41.5,22.20682006
95,0,2,16,21,56,39.13651322
95,0,2,16,119,56,39.13651322
95,0,2,16,25,56,39.13651322
95,0,2,16,24,56,39.13651322
95,0,2,16,85,56,39.13651322
95,0,2,16,35,56,39.13651322
95,0,2,16,83,56,39.13651322
96,0,2,17,47,31.75,18.28934116
96,0,2,17,3,31.75,18.28934116
96,0,2,17,55,31.75,18.28934116
96,0,2,17,39,31.75,18.28934116
96,0,2,17,28,31.75,18.28934116
96,0,2,17,9,31.75,18.28934116
96,0,2,17,44,31.75,18.28934116
96,0,2,17,29,31.75,18.28934116
97,0,2,18,81,79.5,44.78839135
97,0,2,18,88,79.5,44.78839135
97,0,2,18,115,79.5,44.78839135
97,0,2,18,76,79.5,44.78839135
97,0,2,18,27,79.5,44.78839135
97,0,2,18,164,79.5,44.78839135
97,0,2,18,37,79.5,44.78839135
97,0,2,18,48,79.5,44.78839135
98,0,2,19,3,7.4,5.366563146
98,0,2,19,5,7.4,5.366563146
98,0,2,19,11,7.4,5.366563146
98,0,2,19,15,7.4,5.366563146
98,0,2,19,3,7.4,5.366563146
99,0,2,2,140,172.625,98.84611055
99,0,2,2,285,172.625,98.84611055
99,0,2,2,199,172.625,98.84611055
99,0,2,2,66,172.625,98.84611055
99,0,2,2,74,172.625,98.84611055
99,0,2,2,77,172.625,98.84611055
99,0,2,2,319,172.625,98.84611055
99,0,2,2,221,172.625,98.84611055
100,0,2,20,7,22.55555556,11.4903341
100,0,2,20,10,22.55555556,11.4903341
100,0,2,20,14,22.55555556,11.4903341
100,0,2,20,44,22.55555556,11.4903341
100,0,2,20,30,22.55555556,11.4903341
100,0,2,20,20,22.55555556,11.4903341
100,0,2,20,23,22.55555556,11.4903341
100,0,2,20,25,22.55555556,11.4903341
100,0,2,20,30,22.55555556,11.4903341
101,0,2,21,10,6,3.464101615
101,0,2,21,4,6,3.464101615
101,0,2,21,4,6,3.464101615
102,0,2,22,8,8.2,5.263078947
102,0,2,22,17,8.2,5.263078947
102,0,2,22,7,8.2,5.263078947
102,0,2,22,6,8.2,5.263078947
102,0,2,22,3,8.2,5.263078947
103,0,2,23,29,20.33333333,16.22498074
103,0,2,23,2,20.33333333,16.22498074
103,0,2,23,28,20.33333333,16.22498074
103,0,2,23,19,20.33333333,16.22498074
103,0,2,23,3,20.33333333,16.22498074
103,0,2,23,19,20.33333333,16.22498074
103,0,2,23,55,20.33333333,16.22498074
103,0,2,23,19,20.33333333,16.22498074
103,0,2,23,9,20.33333333,16.22498074
104,0,2,3,3,5.8,3.563705936
104,0,2,3,3,5.8,3.563705936
104,0,2,3,8,5.8,3.563705936
104,0,2,3,11,5.8,3.563705936
104,0,2,3,4,5.8,3.563705936
105,0,2,4,10,8.5,6.024948133
105,0,2,4,5,8.5,6.024948133
105,0,2,4,7,8.5,6.024948133
105,0,2,4,5,8.5,6.024948133
105,0,2,4,20,8.5,6.024948133
105,0,2,4,4,8.5,6.024948133
106,0,2,5,199,96,60.09040808
106,0,2,5,48,96,60.09040808
106,0,2,5,112,96,60.09040808
106,0,2,5,32,96,60.09040808
106,0,2,5,35,96,60.09040808
106,0,2,5,136,96,60.09040808
106,0,2,5,139,96,60.09040808
106,0,2,5,67,96,60.09040808
107,0,2,6,24,28.4,21.31431444
107,0,2,6,34,28.4,21.31431444
107,0,2,6,62,28.4,21.31431444
107,0,2,6,15,28.4,21.31431444
107,0,2,6,7,28.4,21.31431444
108,0,2,7,76,73.5,47.59051526
108,0,2,7,99,73.5,47.59051526
108,0,2,7,96,73.5,47.59051526
108,0,2,7,27,73.5,47.59051526
108,0,2,7,88,73.5,47.59051526
108,0,2,7,157,73.5,47.59051526
108,0,2,7,31,73.5,47.59051526
108,0,2,7,14,73.5,47.59051526
109,0,2,8,24,47.77777778,31.33599279
109,0,2,8,22,47.77777778,31.33599279
109,0,2,8,78,47.77777778,31.33599279
109,0,2,8,69,47.77777778,31.33599279
109,0,2,8,5,47.77777778,31.33599279
109,0,2,8,49,47.77777778,31.33599279
109,0,2,8,40,47.77777778,31.33599279
109,0,2,8,105,47.77777778,31.33599279
109,0,2,8,38,47.77777778,31.33599279
110,0,2,9,108,118.8571429,88.74575778
110,0,2,9,43,118.8571429,88.74575778
110,0,2,9,269,118.8571429,88.74575778
110,0,2,9,37,118.8571429,88.74575778
110,0,2,9,201,118.8571429,88.74575778
110,0,2,9,46,118.8571429,88.74575778
110,0,2,9,128,118.8571429,88.74575778
111,0,3,10,207,84.8,73.52006529
111,0,3,10,69,84.8,73.52006529
111,0,3,10,13,84.8,73.52006529
111,0,3,10,86,84.8,73.52006529
111,0,3,10,49,84.8,73.52006529
112,0,3,11,45,118,91.22938123
112,0,3,11,194,118,91.22938123
112,0,3,11,201,118,91.22938123
112,0,3,11,208,118,91.22938123
112,0,3,11,26,118,91.22938123
112,0,3,11,34,118,91.22938123
113,0,3,12,16,53.71428571,34.77889344
113,0,3,12,71,53.71428571,34.77889344
113,0,3,12,73,53.71428571,34.77889344
113,0,3,12,25,53.71428571,34.77889344
113,0,3,12,25,53.71428571,34.77889344
113,0,3,12,53,53.71428571,34.77889344
113,0,3,12,113,53.71428571,34.77889344
114,0,3,13,55,30.25,21.32570548
114,0,3,13,50,30.25,21.32570548
114,0,3,13,28,30.25,21.32570548
114,0,3,13,17,30.25,21.32570548
114,0,3,13,5,30.25,21.32570548
114,0,3,13,56,30.25,21.32570548
114,0,3,13,27,30.25,21.32570548
114,0,3,13,4,30.25,21.32570548
115,0,3,14,1,8.8,10.59245014
115,0,3,14,4,8.8,10.59245014
115,0,3,14,27,8.8,10.59245014
115,0,3,14,3,8.8,10.59245014
115,0,3,14,9,8.8,10.59245014
116,0,3,15,42,23.5,16.93221781
116,0,3,15,12,23.5,16.93221781
116,0,3,15,5,23.5,16.93221781
116,0,3,15,46,23.5,16.93221781
116,0,3,15,23,23.5,16.93221781
116,0,3,15,13,23.5,16.93221781
117,0,3,16,107,58.5,54.28627819
117,0,3,16,11,58.5,54.28627819
117,0,3,16,12,58.5,54.28627819
117,0,3,16,104,58.5,54.28627819
118,0,3,17,31,35.5,22.54550953
118,0,3,17,5,35.5,22.54550953
118,0,3,17,48,35.5,22.54550953
118,0,3,17,14,35.5,22.54550953
118,0,3,17,56,35.5,22.54550953
118,0,3,17,59,35.5,22.54550953
119,0,3,18,100,87.66666667,40.98617653
119,0,3,18,127,87.66666667,40.98617653
119,0,3,18,65,87.66666667,40.98617653
119,0,3,18,67,87.66666667,40.98617653
119,0,3,18,30,87.66666667,40.98617653
119,0,3,18,137,87.66666667,40.98617653
120,0,3,19,2,8.6,8.173126697
120,0,3,19,4,8.6,8.173126697
120,0,3,19,2,8.6,8.173126697
120,0,3,19,17,8.6,8.173126697
120,0,3,19,18,8.6,8.173126697
121,0,3,2,21,174.1428571,116.476648
121,0,3,2,64,174.1428571,116.476648
121,0,3,2,311,174.1428571,116.476648
121,0,3,2,127,174.1428571,116.476648
121,0,3,2,307,174.1428571,116.476648
121,0,3,2,138,174.1428571,116.476648
121,0,3,2,251,174.1428571,116.476648
122,0,3,20,3,19.5,19.34646516
122,0,3,20,3,19.5,19.34646516
122,0,3,20,40,19.5,19.34646516
122,0,3,20,2,19.5,19.34646516
122,0,3,20,24,19.5,19.34646516
122,0,3,20,48,19.5,19.34646516
122,0,3,20,34,19.5,19.34646516
122,0,3,20,2,19.5,19.34646516
123,0,3,21,3,3,0
124,0,3,22,10,10.2,11.45425685
124,0,3,22,4,10.2,11.45425685
124,0,3,22,5,10.2,11.45425685
124,0,3,22,30,10.2,11.45425685
124,0,3,22,2,10.2,11.45425685
125,0,3,23,5,15.75,7.719024118
125,0,3,23,23,15.75,7.719024118
125,0,3,23,19,15.75,7.719024118
